Value Set Name,External ID,Value Set ID,Code system,Code,Description,Output Reason,Single Soft,Single Hard,Hard,Soft,Only if these Codes are not present,Reason,NDC Required
HCPCS Codes Requiring NDCs,vcg-44601551848,19588,HCPCS,J2919,"Injection, methylprednisolone sodium succinate, 5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J3030,"Injection, sumatriptan succinate, 6 mg (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self administered)",Included rule,,,,,,,Yes
,,,HCPCS,J2993,"Injection, reteplase, 18.1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2800,"Injection, methocarbamol, up to 10 ml",Included rule,,,,,,,Yes
,,,HCPCS,J2791,"Injection, rho(d) immune globulin (human), (rhophylac), intramuscular or intravenous, 100 iu",Included rule,,,,,,,Yes
,,,HCPCS,J2680,"Injection, fluphenazine decanoate, up to 25 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2601,"Injection, vasopressin (baxter), 1 unit",Included rule,,,,,,,Yes
,,,HCPCS,J2765,"Injection, metoclopramide hcl, up to 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2710,"Injection, neostigmine methylsulfate, up to 0.5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2724,"Injection, protein c concentrate, intravenous, human, 10 iu",Included rule,,,,,,,Yes
,,,HCPCS,J2793,"Injection, rilonacept, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2540,"Injection, penicillin g potassium, up to 600,000 units",Included rule,,,,,,,Yes
,,,HCPCS,J2598,"Injection, vasopressin, 1 unit",Included rule,,,,,,,Yes
,,,HCPCS,S0142,"Colistimethate sodium, inhalation solution administered through dme, concentrated form, per mg",Included rule,,,,,,,Yes
,,,HCPCS,S0148,"Injection, pegylated interferon alfa-2b, 10 mcg",Included rule,,,,,,,Yes
,,,HCPCS,S0187,"Tamoxifen citrate, oral, 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,S0182,"Procarbazine hydrochloride, oral, 50 mg",Included rule,,,,,,,Yes
,,,HCPCS,S0104,"Zidovudine, oral, 100 mg",Included rule,,,,,,,Yes
,,,HCPCS,S0012,"Butorphanol tartrate, nasal spray, 25 mg",Included rule,,,,,,,Yes
,,,HCPCS,Q3027,"Injection, interferon beta-1a, 1 mcg for intramuscular use",Included rule,,,,,,,Yes
,,,HCPCS,Q0155,"Dronabinol (syndros), 0.1 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen",Included rule,,,,,,,Yes
,,,HCPCS,Q0249,"Injection, tocilizumab, for hospitalized adults and pediatric patients (2 years of age and older) with covid-19 who are receiving systemic corticosteroids and require supplemental oxygen, non-invasive or invasive mechanical ventilation, or extracorporeal membrane oxygenation (ecmo) only, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1457,"Injection, gallium nitrate, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J3365,"Injection, iv, urokinase, 250,000 i.u. vial",Included rule,,,,,,,Yes
,,,HCPCS,J3400,"Injection, triflupromazine hcl, up to 20 mg",Included rule,,,,,,,Yes
,,,HCPCS,A9585,"Injection, gadobutrol, 0.1 ml",Included rule,,,,,,,Yes
,,,HCPCS,J1554,"Injection, immune globulin (asceniv), 500 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9281,"Mitomycin pyelocalyceal instillation, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J7200,"Injection, factor ix, (antihemophilic factor, recombinant), rixubis, per iu",Included rule,,,,,,,Yes
,,,HCPCS,J3247,"Injection, secukinumab, intravenous, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9220,"Injection, indigotindisulfonate sodium, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J3145,"Injection, testosterone undecanoate, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,C9046,"Cocaine hydrochloride nasal solution (goprelto), 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9173,"Injection, durvalumab, 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,C9482,"Injection, sotalol hydrochloride, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9022,"Injection, atezolizumab, 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9299,"Injection, nivolumab, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2426,"Injection, paliperidone palmitate extended release (invega sustenna), 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2312,"Injection, naloxone hydrochloride, not otherwise specified, 0.01 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2405,"Injection, ondansetron hydrochloride, per 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2355,"Injection, oprelvekin, 5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2003,"Injection, lidocaine hydrochloride, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1960,"Injection, levorphanol tartrate, up to 2 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1990,"Injection, chlordiazepoxide hcl, up to 100 mg",Included rule,,,,,,,Yes
